protein	location	source(s)
SLC27A2	Cytosol	GO
RPL36	Nucleoli	GO
NDUFA9	Mitochondria	HPA;GO
TUBB4A	Primary cilium	HPA;GO
NEURL2	Cytosol	GO
LKAAEAR1	Nucleoplasm	HPA
PRDM1	Nucleoplasm	HPA;GO
SNX4	Microtubules	GO
PSME2	Cytosol	GO
SNW1	Nucleoplasm	HPA;GO
APOA2	Cytosol	GO
ST6GAL2	Golgi apparatus	GO
CUL5	Cytosol	HPA;GO
IGKV2-28	Plasma membrane	GO
BICDL2	Intermediate filaments	HPA
GPRC5B	Nucleoli	HPA
SMIM26	Cytosol	HPA
SUGCT	Primary cilium	HPA
GPR68	Plasma membrane	GO
MYRIP	Cytosol	GO
UBE2L6	Cytosol	HPA;GO
PPIG	Cytosol	GO
TMTC1	Nucleoplasm	HPA
ABCA7	Plasma membrane	HPA;GO
CIRBP	Nucleoplasm	HPA
GPR27	Cytosol	HPA
MZT2A	Centrosome	HPA;GO
SLC28A1	Plasma membrane	HPA;GO
TEKTIP1	Cytosol	HPA
USP11	Cytosol	HPA;GO
NPTX2	Actin filaments	HPA
ZDHHC12	Plasma membrane	GO
COQ2	Mitochondria	GO
UBE2T	Nucleoplasm	HPA;GO
PBX2	Nucleoplasm	HPA
ALDH8A1	Cytosol	GO
TXLNA	Centrosome	HPA
ITCH	Nucleoplasm	HPA
KMT5B	Centrosome	HPA
TLR2	Golgi apparatus	GO
PTP4A1	Plasma membrane	GO
VARS1	Endoplasmic reticulum	HPA
IRAG1	Nucleoplasm	HPA
ENSG00000257390	Nucleoplasm	HPA
DCXR	Plasma membrane	GO
MYO6	Nuclear membrane	GO
TRIM29	Plasma membrane	GO
DOK7	Mitochondria	HPA
ZNF551	Nucleoplasm	HPA
FRMD3	Plasma membrane	HPA
GLRX2	Nucleoplasm	HPA
PAK2	Plasma membrane	GO
MRNIP	Nucleoplasm	GO
ITIH2	Golgi apparatus	HPA
RAB25	Plasma membrane	HPA
ACSL4	Golgi apparatus	HPA
RAD21	Nucleoplasm	HPA;GO
TMEM65	Plasma membrane	HPA;GO
RPL17-C18orf32	Cytosol	HPA
S100A13	Cytosol	HPA;GO
SYAP1	Nucleoplasm	HPA
MLYCD	Cytosol	GO
FAF2	Endoplasmic reticulum	HPA;GO
HSPB6	Nucleoplasm	HPA
RBM39	Nucleoplasm	HPA;GO
SLC22A9	Plasma membrane	GO
CARD19	Mitochondria	HPA
DCAF6	Nucleoplasm	HPA;GO
ELMO2	Cytosol	HPA;GO
TWIST2	Nucleoplasm	HPA
ISG15	Nucleoplasm	GO
XRN1	Cytosol	HPA;GO
SH2B2	Cytosol	HPA;GO
GCC1	Cytosol	HPA;GO
NOX3	Plasma membrane	GO
CDK2	Centrosome	HPA;GO
SUMO2	Nucleoplasm	HPA;GO
LMAN2	Plasma membrane	GO
FGFR1OP2	Mitochondria	HPA
KNOP1	Cytosol	HPA
SRP54	Cytosol	HPA;GO
RICTOR	Cytosol	GO
PHKA2	Cytosol	GO
SNX17	Cytosol	HPA;GO
OASL	Cytosol	HPA;GO
AHSG	Endoplasmic reticulum	GO
FAM186B	Cytosol	HPA
MACF1	Actin filaments	HPA
RALBP1	Plasma membrane	HPA
RIPK1	Cytosol	HPA;GO
TGM2	Cytosol	HPA;GO
ARHGEF19	Cytosol	GO
NT5DC1	Cytosol	HPA
PPP1R2	Nucleoplasm	HPA
XRCC1	Nucleoli	GO
CRIP1	Plasma membrane	HPA
LRRC69	Plasma membrane	HPA
LONRF1	Centrosome	HPA
RFPL4A	Centrosome	HPA
SEH1L	Cytosol	GO
RASSF2	Cytosol	HPA
ENSG00000286165	Cytosol	HPA
TRIM47	Cytosol	HPA
MDM2	Centrosome	HPA
ADGRL2	Plasma membrane	HPA
FAM72C	Plasma membrane	HPA
ZBTB14	Nucleoplasm	HPA
BICD2	Golgi apparatus	HPA
CAMTA1	Nucleoli	HPA
ZNF354A	Nucleoplasm	HPA
TRAK1	Nucleoplasm	HPA
NUMB	Actin filaments	GO
METTL22	Nucleoplasm	HPA;GO
NOC4L	Nucleoplasm	HPA;GO
SSR4	Endoplasmic reticulum	HPA
TTLL6	Cytosol	GO
MPLKIP	Centrosome	GO
ARHGAP45	Cytosol	HPA;GO
TSPYL6	Nucleoplasm	HPA
RNF182	Golgi apparatus	HPA
CUL7	Golgi apparatus	GO
ITGA8	Endoplasmic reticulum	GO
ARMC8	Nucleoplasm	HPA
APBB1	Nucleoplasm	GO
GTF3C3	Nucleoplasm	HPA;GO
TDRD6	Cytosol	HPA
TCEAL5	Nucleoplasm	HPA
ZNF346	Nucleoplasm	HPA
FLNA	Cytosol	HPA;GO
SNRPC	Nucleoplasm	HPA;GO
CEP41	Centrosome	GO
CEP192	Microtubules	GO
ACACA	Cytosol	HPA;GO
TUBA1C	Microtubules	HPA;GO
GRIN2A	Endoplasmic reticulum	GO
TRAPPC13	Plasma membrane	HPA
DDC	Primary cilium	HPA
MAPK6	Microtubules	HPA
RBCK1	Cytosol	GO
ELAC1	Nucleoplasm	HPA
MYD88	Cytosol	HPA;GO
DYNLT4	Primary cilium	GO
RPS15	Endoplasmic reticulum	HPA
PCF11	Nucleoplasm	HPA;GO
BTBD1	Cytosol	HPA;GO
PTK2B	Plasma membrane	HPA;GO
NAT2	Cytosol	GO
ERF	Cytosol	GO
CGN	Plasma membrane	HPA;GO
CEP83	Nucleoplasm	HPA
ASCC2	Cytosol	HPA;GO
TMEM139	Plasma membrane	HPA
PCSK9	Golgi apparatus	GO
LMAN2L	Golgi apparatus	GO
MDM4	Nucleoplasm	HPA;GO
NLGN4Y	Plasma membrane	GO
WTAP	Nucleoplasm	HPA;GO
TMEM17	Golgi apparatus	HPA
KMT5B	Nucleoli	HPA
DCDC2	Centrosome	HPA
GPAM	Mitochondria	HPA;GO
KATNBL1	Nucleoplasm	HPA
PLEKHO1	Mitochondria	HPA
RUBCN	Golgi apparatus	GO
ASB2	Nucleoplasm	HPA
C7orf50	Nucleoli	HPA
SPART	Microtubules	GO
ADI1	Golgi apparatus	HPA
XPNPEP1	Cytosol	HPA;GO
CERS2	Endoplasmic reticulum	HPA;GO
GIGYF1	Microtubules	HPA
SLC44A1	Mitochondria	HPA;GO
AUP1	Endoplasmic reticulum	GO
BCL2L11	Cytosol	GO
RPS3	Microtubules	GO
ANKRD23	Nucleoplasm	HPA
C5orf46	Nucleoplasm	HPA
PRRX2	Nucleoplasm	HPA
CLTC	Cytosol	GO
ABCA13	Plasma membrane	GO
CCDC146	Microtubules	GO
SYVN1	Endoplasmic reticulum	HPA;GO
CAPG	Microtubules	GO
SACM1L	Golgi apparatus	HPA;GO
CAMSAP1	Cytosol	HPA
C17orf75	Golgi apparatus	GO
PFDN1	Cytosol	HPA
EEA1	Cytosol	GO
IGLV3-1	Plasma membrane	GO
NOP58	Nucleoplasm	HPA;GO
KDM4A	Nucleoli	HPA
EZH2	Nucleoplasm	HPA;GO
PRR7	Nucleoplasm	HPA
ALOX15B	Actin filaments	GO
FOXQ1	Nucleoli	HPA
OMD	Golgi apparatus	GO
PAAF1	Nucleoplasm	HPA
GPSM2	Cytosol	HPA
PPP1CA	Cytosol	HPA;GO
UTP11	Nucleoli	HPA;GO
CDK5R1	Cytosol	GO
GASK1B	Nucleoplasm	HPA
LRRTM1	Golgi apparatus	HPA
RANGAP1	Nucleoplasm	GO
GYS1	Microtubules	HPA
TAX1BP3	Actin filaments	HPA
FAM229B	Golgi apparatus	HPA
ZFY	Nucleoplasm	HPA
MARK2	Actin filaments	GO
FLNB	Golgi apparatus	HPA
SLC15A2	Plasma membrane	GO
HEXD	Mitochondria	HPA
DDX5	Nucleoli	HPA;GO
PRKAG1	Nucleoplasm	HPA;GO
PRSS23	Endoplasmic reticulum	GO
S100A10	Mitochondria	HPA
SLC6A7	Cytosol	HPA
MRPS16	Cytosol	HPA
AOAH	Endoplasmic reticulum	HPA
OR10P1	Plasma membrane	HPA
HSBP1	Nucleoli	HPA
CLOCK	Nucleoplasm	HPA;GO
METTL27	Cytosol	HPA
TGFBR1	Plasma membrane	HPA;GO
PSMC5	Nucleoplasm	GO
CXXC4	Golgi apparatus	HPA
RBFOX1	Golgi apparatus	HPA;GO
PACRGL	Nucleoplasm	HPA
PPP2R5A	Centrosome	GO
VSIG1	Cytosol	HPA
GPC5	Plasma membrane	GO
GUCY2F	Primary cilium	GO
RPL23	Actin filaments	GO
SDAD1	Nucleoli	HPA;GO
RASA4	Cytosol	GO
TPTE2	Cytosol	HPA
ACTR6	Plasma membrane	HPA
ERH	Nucleoplasm	HPA
HNF4G	Nucleoplasm	HPA;GO
KIFC3	Plasma membrane	GO
COQ7	Plasma membrane	HPA
BCL3	Primary cilium	HPA
PRAF2	Endoplasmic reticulum	HPA
SLC6A13	Mitochondria	HPA
NCF4	Cytosol	HPA;GO
SPN	Plasma membrane	HPA;GO
SPOCD1	Nucleoli	HPA
TIMD4	Plasma membrane	HPA
KIF2C	Centrosome	HPA
CLDN4	Plasma membrane	HPA;GO
CFAP97	Cytosol	HPA
MRPS28	Mitochondria	HPA;GO
SLC37A1	Endoplasmic reticulum	GO
CDKN1C	Cytosol	HPA
RPE	Plasma membrane	HPA
PCDHGB4	Cytosol	HPA
PPP1R35	Nucleoplasm	HPA
SEC61A1	Endoplasmic reticulum	HPA;GO
SSX2B	Nucleoli	HPA
ANXA6	Plasma membrane	GO
GNA13	Cytosol	HPA
COLGALT1	Endoplasmic reticulum	GO
NCOA3	Cytosol	HPA
BPHL	Mitochondria	HPA;GO
ID2	Nucleoplasm	HPA;GO
ZNF423	Nucleoplasm	HPA
FZD2	Plasma membrane	HPA;GO
TEX264	Nucleoplasm	GO
SERPINE2	Cytosol	GO
FES	Actin filaments	GO
WIZ	Nucleoplasm	HPA
DIMT1	Nucleoli	HPA;GO
SNX22	Nucleoplasm	HPA
DMAC2L	Mitochondria	HPA;GO
HDAC7	Cytosol	HPA
NAP1L4	Nucleoplasm	HPA
CHD4	Nucleoplasm	HPA;GO
ERVMER34-1	Cytosol	HPA
WDR62	Cytosol	HPA
ADCY7	Plasma membrane	HPA;GO
ATF4	Centrosome	GO
ASNS	Cytosol	HPA;GO
CDC34	Cytosol	HPA;GO
ZNF540	Cytosol	HPA
OXA1L	Mitochondria	HPA;GO
HAGH	Mitochondria	GO
IL37	Cytosol	HPA;GO
MATCAP2	Plasma membrane	HPA
KRT18	Plasma membrane	GO
ADD1	Plasma membrane	HPA;GO
TMBIM1	Plasma membrane	GO
PIGW	Plasma membrane	HPA
ANAPC5	Microtubules	GO
TGS1	Nucleoplasm	GO
RPS6	Cytosol	HPA;GO
NME2	Plasma membrane	GO
BSN	Plasma membrane	GO
AANAT	Cytosol	HPA;GO
DPYS	Cytosol	GO
RPP38	Nucleoli	HPA;GO
ARHGAP9	Plasma membrane	HPA
STAG1	Microtubules	GO
HELLS	Nucleoplasm	HPA
TFB2M	Mitochondria	HPA;GO
MLEC	Plasma membrane	GO
LRRN1	Primary cilium	HPA
GPR4	Plasma membrane	GO
TRIM46	Primary cilium	HPA
CYTH3	Plasma membrane	GO
DNAH12	Centrosome	HPA
DPY30	Nucleoplasm	HPA;GO
GALNT15	Golgi apparatus	HPA;GO
PAGE3	Nucleoplasm	HPA
PRPF31	Nucleoplasm	HPA;GO
ENPP6	Golgi apparatus	HPA
TJP3	Nucleoplasm	HPA
TRAPPC10	Cytosol	GO
UPB1	Cytosol	GO
B3GALNT1	Golgi apparatus	GO
OPLAH	Nucleoli	HPA
THUMPD1	Nucleoplasm	GO
TRAPPC2	Cytosol	GO
ACP4	Plasma membrane	HPA
BARX1	Nucleoplasm	HPA
POLR1A	Cytosol	HPA
PRR35	Microtubules	HPA
DGKD	Plasma membrane	GO
SIX1	Nucleoplasm	HPA
CEP128	Microtubules	GO
TPPP	Mitochondria	HPA
ANXA2	Microtubules	GO
BTN3A3	Cytosol	HPA
KEAP1	Nucleoplasm	HPA
RPL37A	Actin filaments	GO
COX19	Cytosol	HPA;GO
SULT1B1	Golgi apparatus	HPA
SFT2D1	Cytosol	HPA
NEFL	Intermediate filaments	HPA;GO
PHB2	Mitochondria	HPA;GO
PKP2	Plasma membrane	HPA;GO
SFRP2	Intermediate filaments	HPA
STK39	Cytosol	HPA;GO
TPP1	Golgi apparatus	GO
CCDC134	Cytosol	HPA
RNF215	Nucleoli	HPA
PRPF40A	Nucleoplasm	HPA;GO
DCPS	Nucleoplasm	HPA
TMEM164	Plasma membrane	HPA
ABRAXAS2	Microtubules	GO
CISD2	Endoplasmic reticulum	HPA;GO
ZNF609	Nucleoplasm	HPA
AKR1B1	Cytosol	HPA;GO
GART	Cytosol	HPA;GO
YIPF2	Golgi apparatus	HPA;GO
PPDPF	Nucleoli	HPA
TICRR	Nucleoplasm	HPA
ALPG	Plasma membrane	HPA;GO
BTG1	Nucleoplasm	HPA;GO
S1PR4	Plasma membrane	GO
EMD	Cytosol	GO
CD226	Plasma membrane	HPA;GO
C17orf80	Cytosol	HPA
ZDHHC11	Golgi apparatus	GO
SMYD5	Nucleoplasm	HPA
NCAM1	Golgi apparatus	GO
ANKRD36B	Cytosol	HPA
SGO1	Microtubules	GO
SNAPC4	Nuclear membrane	HPA
SLC39A2	Cytosol	HPA
CEBPB	Nucleoplasm	HPA;GO
DYNC2I1	Microtubules	GO
CHD7	Nucleoli	HPA
LCMT1	Cytosol	HPA
ZNF225	Nucleoplasm	HPA
TTC17	Actin filaments	GO
GFM2	Mitochondria	HPA;GO
RANBP3	Nucleoplasm	HPA
ST6GAL1	Golgi apparatus	GO
MARS1	Cytosol	HPA;GO
TIAM2	Nucleoplasm	HPA
ATP8A2	Plasma membrane	HPA;GO
GRK3	Cytosol	GO
SLC22A4	Mitochondria	HPA;GO
MTHFD2	Mitochondria	HPA;GO
PCTP	Nucleoplasm	HPA
RNFT1	Nucleoli	HPA
FBL	Nucleoli	HPA;GO
PPM1E	Nucleoli	HPA
OAZ3	Nucleoplasm	HPA
ZNF436	Nucleoplasm	HPA
PGPEP1	Golgi apparatus	HPA
SHPRH	Nuclear membrane	HPA
DMGDH	Mitochondria	HPA;GO
CARS2	Nucleoplasm	HPA
SPG7	Mitochondria	GO
RITA1	Centrosome	GO
MAEA	Actin filaments	GO
EZHIP	Nucleoplasm	HPA
EIF2B4	Cytosol	GO
P4HA3	Endoplasmic reticulum	GO
C7orf57	Cytosol	HPA
SMURF1	Cytosol	GO
RRAD	Golgi apparatus	HPA
DLG4	Plasma membrane	GO
TES	Actin filaments	HPA;GO
PES1	Nucleoli	HPA;GO
OAT	Nucleoplasm	HPA
HSF1	Nucleoplasm	HPA;GO
ZNF76	Cytosol	HPA
SLC35F3	Nucleoli	HPA
CLUAP1	Primary cilium	HPA;GO
MSI2	Cytosol	HPA;GO
PHYHIP	Mitochondria	HPA
ACTR3	Cytosol	GO
EIF3H	Cytosol	HPA;GO
LRP12	Mitochondria	HPA
MZT2B	Cytosol	HPA;GO
MUC6	Plasma membrane	GO
TOP1MT	Mitochondria	HPA;GO
SPACA4	Plasma membrane	GO
AP4S1	Golgi apparatus	GO
DDX18	Nucleoli	HPA;GO
C21orf58	Nucleoplasm	HPA
ZNF260	Nucleoplasm	HPA
PLAAT1	Actin filaments	HPA
TMTC2	Endoplasmic reticulum	GO
CCDC112	Cytosol	HPA
GTF3C4	Nucleoplasm	HPA;GO
TIGD4	Cytosol	HPA
CABCOCO1	Nucleoplasm	HPA
KIF22	Microtubules	GO
FKBPL	Microtubules	HPA
TNNT1	Golgi apparatus	HPA
LHX8	Nucleoplasm	HPA
TOX3	Cytosol	HPA
CNOT6	Cytosol	HPA;GO
OCLN	Plasma membrane	HPA;GO
ETFA	Mitochondria	HPA;GO
SYNE1	Nuclear membrane	HPA
SFXN2	Mitochondria	HPA;GO
RIN2	Cytosol	HPA;GO
EIF3D	Cytosol	HPA;GO
GPSM1	Golgi apparatus	HPA;GO
GAGE2A	Golgi apparatus	HPA
LIMD1	Actin filaments	HPA;GO
RNPEPL1	Nucleoplasm	HPA
ADAMTS7	Endoplasmic reticulum	GO
BNC2	Nucleoli	HPA
GSDMA	Plasma membrane	HPA
SPRR3	Plasma membrane	GO
DUSP22	Plasma membrane	GO
DAAM2	Cytosol	HPA
SLCO4C1	Nucleoplasm	HPA
TGFBR2	Plasma membrane	HPA;GO
PPP4R3A	Cytosol	HPA
ANKS4B	Nucleoplasm	HPA
GLMN	Nucleoplasm	HPA
KIF14	Microtubules	HPA;GO
SPRED1	Cytosol	GO
NPLOC4	Nucleoplasm	HPA;GO
RPTOR	Nucleoplasm	GO
RNASEL	Mitochondria	GO
AKAP9	Cytosol	GO
YWHAB	Actin filaments	GO
HROB	Nucleoplasm	HPA;GO
ITGA1	Actin filaments	GO
LNP1	Nucleoplasm	HPA
EVX1	Nucleoplasm	HPA
NCAPG	Cytosol	GO
PAPSS1	Cytosol	GO
SLC30A1	Golgi apparatus	GO
ENSG00000280571	Nucleoplasm	HPA
GRPEL1	Mitochondria	HPA;GO
TAF1B	Nucleoplasm	GO
NFKBID	Cytosol	HPA
RBM24	Cytosol	HPA
ZNG1F	Plasma membrane	HPA
MTLN	Mitochondria	GO
ABCD4	Endoplasmic reticulum	GO
GTF2IRD2	Nucleoplasm	HPA
HOXA10	Nucleoplasm	HPA
TMA7	Nucleoli	HPA
SPATA2	Nucleoli	HPA
BDKRB2	Plasma membrane	HPA;GO
IL27RA	Plasma membrane	GO
NEK6	Nucleoplasm	HPA
SLC39A10	Nucleoplasm	HPA
MEIS2	Cytosol	HPA
RIF1	Nuclear membrane	HPA
ZNF711	Nucleoplasm	HPA
PTPN14	Nucleoplasm	HPA;GO
FBXW12	Cytosol	HPA;GO
TRAT1	Microtubules	HPA
CELA2A	Cytosol	GO
NARF	Intermediate filaments	GO
DUSP10	Nucleoplasm	HPA
UQCC5	Mitochondria	GO
DES	Cytosol	GO
SCARF1	Plasma membrane	GO
ADGRD1	Plasma membrane	HPA;GO
IGF2R	Golgi apparatus	HPA;GO
TRPM3	Plasma membrane	GO
CTDP1	Nucleoplasm	HPA;GO
PIN4	Mitochondria	GO
ZNF646	Cytosol	HPA
CKS1B	Nucleoplasm	HPA;GO
ATP6V1C1	Nucleoplasm	HPA
GLRX5	Mitochondria	HPA;GO
WWC1	Plasma membrane	GO
IFIT1	Cytosol	HPA;GO
IGBP1	Microtubules	HPA
PALLD	Cytosol	HPA
ZNF165	Nucleoplasm	HPA
INA	Cytosol	HPA;GO
DBR1	Nucleoplasm	HPA
KHDC1L	Cytosol	HPA
CCDC47	Cytosol	GO
HTN3	Mitochondria	GO
POLN	Nucleoli	GO
COQ5	Mitochondria	HPA;GO
DCAF15	Mitochondria	HPA
FASN	Plasma membrane	HPA
TCF23	Nucleoplasm	HPA
TMEM143	Nucleoli	HPA
MAB21L4	Nucleoplasm	HPA
SPATA24	Cytosol	HPA
SLC38A6	Plasma membrane	HPA
NUDCD3	Plasma membrane	HPA
H3C6	Nucleoplasm	HPA
DTNBP1	Cytosol	GO
CETN1	Microtubules	GO
CYP11B2	Mitochondria	HPA;GO
SLC19A1	Plasma membrane	HPA;GO
FAM3A	Nucleoplasm	HPA
LRRC26	Nucleoli	HPA
ZZZ3	Nucleoplasm	HPA;GO
RPAP3	Primary cilium	HPA
NRXN3	Plasma membrane	GO
BCAR1	Plasma membrane	HPA;GO
RAD52	Plasma membrane	HPA
SLFN13	Microtubules	HPA
AMY1B	Golgi apparatus	HPA
CALU	Golgi apparatus	GO
MCC	Plasma membrane	GO
IST1	Nucleoplasm	GO
FAM114A1	Cytosol	HPA
PPIA	Cytosol	GO
PAK1	Plasma membrane	HPA;GO
NKTR	Plasma membrane	HPA
REG3A	Cytosol	HPA
TSPYL5	Golgi apparatus	HPA
SAP25	Nucleoplasm	HPA
NBAS	Golgi apparatus	HPA
ELOVL3	Endoplasmic reticulum	GO
RRP9	Nucleoli	GO
IQCE	Plasma membrane	HPA
HSP90AB1	Plasma membrane	HPA
REST	Cytosol	HPA
NEFH	Primary cilium	HPA
DDR2	Actin filaments	GO
SULT6B1	Cytosol	GO
ZBTB16	Nucleoplasm	GO
NME9	Centrosome	HPA
ARHGEF37	Cytosol	HPA
KBTBD2	Nucleoplasm	HPA
RND1	Plasma membrane	HPA;GO
SIKE1	Cytosol	GO
CTC1	Nucleoplasm	HPA;GO
ZBTB1	Nuclear membrane	HPA
ACP3	Plasma membrane	GO
YIPF4	Golgi apparatus	HPA
ABCE1	Cytosol	HPA;GO
TLN1	Plasma membrane	HPA;GO
ELP6	Centrosome	HPA
PLD6	Mitochondria	GO
CCR6	Primary cilium	GO
ZNF414	Nucleoplasm	HPA
CASP7	Plasma membrane	HPA
TOLLIP	Plasma membrane	GO
ZNF687	Nucleoplasm	HPA
ROBO1	Plasma membrane	HPA;GO
GOT1	Cytosol	GO
GJB6	Plasma membrane	HPA;GO
EDARADD	Cytosol	HPA;GO
SLC43A2	Plasma membrane	GO
MORC2	Cytosol	HPA
BNIP1	Endoplasmic reticulum	HPA;GO
DNM2	Cytosol	HPA;GO
POLR1C	Nucleoli	HPA;GO
ANAPC1	Cytosol	GO
PLPP6	Endoplasmic reticulum	GO
NSUN4	Mitochondria	GO
IGKV1-5	Plasma membrane	GO
AKR1C2	Endoplasmic reticulum	HPA
KCNIP4	Plasma membrane	GO
ABCF3	Nucleoli	HPA
NAPRT	Cytosol	HPA;GO
RGS7	Plasma membrane	GO
ISX	Nucleoplasm	HPA
GRHL3	Nucleoplasm	HPA
KATNAL2	Intermediate filaments	HPA
EPB41L3	Plasma membrane	HPA;GO
FUT8	Cytosol	HPA
ERFL	Nucleoplasm	HPA
CAMK2N2	Primary cilium	HPA
TBC1D13	Cytosol	HPA
C10orf90	Actin filaments	GO
NPM2	Nucleoli	HPA
MOB2	Cytosol	HPA
C1orf109	Nucleoli	HPA
BRD1	Nucleoplasm	HPA;GO
PDE5A	Cytosol	HPA;GO
PIERCE1	Microtubules	GO
APC	Cytosol	GO
IGF2BP3	Cytosol	HPA;GO
MMP15	Cytosol	HPA
STK4	Cytosol	HPA;GO
IL18R1	Mitochondria	HPA
H2BC1	Nucleoplasm	GO
AHNAK	Plasma membrane	HPA;GO
TRMT61A	Mitochondria	HPA
HAAO	Cytosol	GO
BZW2	Actin filaments	HPA
AHI1	Primary cilium	HPA;GO
PRKRIP1	Actin filaments	HPA
MT-CO1	Mitochondria	HPA;GO
CSNK1D	Plasma membrane	HPA;GO
EHBP1	Plasma membrane	HPA
STAU2	Cytosol	HPA
FNTA	Cytosol	HPA;GO
DNAH5	Primary cilium	GO
PHYKPL	Mitochondria	HPA;GO
ITGA4	Plasma membrane	HPA;GO
LHX5	Nucleoplasm	HPA
TSEN54	Nucleoplasm	HPA;GO
FAM83F	Nucleoplasm	HPA
CTU2	Mitochondria	HPA
GALNS	Cytosol	HPA
TINF2	Nucleoplasm	HPA;GO
TSPAN15	Plasma membrane	HPA;GO
ZNF583	Nucleoli	HPA
B4GALT2	Golgi apparatus	HPA;GO
RSU1	Plasma membrane	GO
NMRK1	Centrosome	HPA
ZNF782	Mitochondria	HPA
DCBLD2	Golgi apparatus	HPA
SCRN1	Nuclear membrane	GO
COL17A1	Plasma membrane	HPA;GO
TMEM11	Mitochondria	HPA;GO
SNX29	Nucleoli	HPA
CDC42SE2	Plasma membrane	GO
CWC22	Nucleoplasm	HPA;GO
GAL3ST4	Nucleoplasm	HPA
ATP5F1EP2	Mitochondria	GO
HSPB3	Nucleoplasm	HPA
STYX	Nucleoplasm	HPA
ARL3	Centrosome	HPA;GO
ENSG00000198211	Primary cilium	HPA
RPS27A	Plasma membrane	GO
LHX4	Nucleoplasm	HPA
CAMK1D	Primary cilium	HPA
APPBP2	Nucleoplasm	HPA
MPHOSPH9	Primary cilium	HPA
CEACAM1	Plasma membrane	GO
ADCY8	Nucleoplasm	HPA
PTH1R	Cytosol	HPA
ORC5	Cytosol	HPA
SAMD15	Nucleoli	HPA
ACOXL	Cytosol	HPA
SLC22A14	Mitochondria	GO
ALDH3A1	Cytosol	HPA;GO
IGKV3-15	Plasma membrane	HPA;GO
MRPL48	Mitochondria	HPA;GO
C2CD5	Plasma membrane	GO
MOGAT3	Endoplasmic reticulum	GO
ZSCAN1	Nucleoplasm	HPA
KALRN	Cytosol	HPA;GO
PSMD11	Nucleoplasm	HPA;GO
ARF4	Cytosol	GO
GALE	Golgi apparatus	HPA
TAS2R38	Plasma membrane	GO
CAMKMT	Nucleoli	HPA
ABCD1	Mitochondria	GO
GPR161	Primary cilium	HPA;GO
PLD2	Endoplasmic reticulum	GO
MAP3K12	Nucleoplasm	HPA
AJUBA	Golgi apparatus	HPA
NUP43	Nucleoplasm	HPA;GO
CDK5	Cytosol	GO
PTPRT	Plasma membrane	GO
TCL1A	Endoplasmic reticulum	HPA
LTV1	Nucleoplasm	HPA;GO
CTSG	Cytosol	GO
ENSG00000286268	Endoplasmic reticulum	HPA
IZUMO1	Plasma membrane	GO
PRR3	Cytosol	HPA
CKM	Cytosol	GO
FNIP2	Centrosome	HPA
RAB1A	Cytosol	HPA;GO
FBXO4	Nucleoplasm	HPA
SLC35E4	Cytosol	HPA
HERC3	Cytosol	HPA
EVC2	Microtubules	HPA
BRF1	Nucleoplasm	HPA;GO
LRIG2	Golgi apparatus	HPA
RPS29	Cytosol	HPA;GO
MASP1	Nucleoplasm	HPA
NOL3	Nucleoli	GO
ASZ1	Cytosol	HPA
SNRNP25	Cytosol	HPA
TIAM1	Nucleoplasm	HPA
CCDC141	Nucleoplasm	HPA
ETFB	Mitochondria	HPA;GO
CCR3	Plasma membrane	HPA;GO
CELSR1	Plasma membrane	HPA
KIAA1143	Nucleoplasm	HPA
CLIC4	Cytosol	GO
ARID3A	Nucleoplasm	HPA;GO
ITGB1	Endoplasmic reticulum	HPA
DRICH1	Nucleoplasm	HPA
TXNIP	Cytosol	HPA;GO
EPAS1	Nucleoplasm	HPA;GO
PPP2R2A	Cytosol	HPA;GO
TIMM17A	Mitochondria	HPA;GO
ATP6V1B1	Cytosol	GO
CDC73	Nucleoplasm	HPA;GO
KTI12	Cytosol	HPA
ZNF581	Cytosol	HPA
TXNRD1	Cytosol	GO
SMTN	Actin filaments	HPA
VSIG10L	Nucleoplasm	HPA
MIER1	Nucleoplasm	HPA
PDGFD	Golgi apparatus	HPA;GO
NEDD4	Golgi apparatus	GO
FAM186B	Centrosome	HPA
SERPINB9	Cytosol	HPA;GO
BLOC1S2	Mitochondria	GO
CHMP5	Microtubules	HPA
N4BP2	Plasma membrane	HPA
RPLP2	Cytosol	HPA;GO
ZC4H2	Primary cilium	HPA
RPL13	Endoplasmic reticulum	HPA
SPEN	Nucleoplasm	HPA
PGAM2	Nucleoli	HPA
NCKAP5	Plasma membrane	HPA
ZNF117	Nucleoli	HPA
BLCAP	Nucleoli	HPA
KNDC1	Plasma membrane	HPA
PHPT1	Nucleoplasm	HPA
TOP3B	Nucleoplasm	HPA
DDX60L	Cytosol	HPA
SLC4A5	Plasma membrane	GO
ARL4D	Golgi apparatus	HPA
MAP4	Microtubules	HPA;GO
ASTN2	Nucleoplasm	HPA
VEZT	Nucleoplasm	HPA
TMEM216	Cytosol	GO
TAS2R10	Plasma membrane	HPA;GO
TP53INP1	Cytosol	HPA;GO
MYLK	Cytosol	GO
RPL9	Endoplasmic reticulum	HPA
BAK1	Mitochondria	GO
PKD2	Microtubules	GO
ATP2A3	Endoplasmic reticulum	GO
GABPB1	Nucleoplasm	HPA;GO
AIF1L	Actin filaments	GO
SLC9C2	Plasma membrane	HPA
ZNF638	Nucleoplasm	HPA
BAMBI	Plasma membrane	GO
AUNIP	Centrosome	HPA;GO
DYNC1LI1	Cytosol	GO
DDX55	Nucleoli	HPA
ACTN3	Plasma membrane	GO
