protein	location	source(s)
FAM83D	Microtubules	HPA;GO
IGKV3D-7	Cytosol	HPA
MAP2K5	Microtubules	HPA
HNF1A	Nucleoplasm	HPA
IST1	Cytosol	GO
GALNT6	Nucleoplasm	HPA
CT45A9	Nucleoli	HPA
MPP3	Cytosol	HPA
CAPS2	Centrosome	HPA
RPLP1	Cytosol	HPA;GO
LMF1	Endoplasmic reticulum	GO
GSX1	Nucleoplasm	HPA
DGKE	Cytosol	HPA
DES	Intermediate filaments	HPA
TELO2	Nucleoplasm	HPA
LRRTM1	Plasma membrane	GO
RACK1	Microtubules	GO
ZBTB16	Cytosol	GO
TRIM3	Mitochondria	HPA
TEDC2	Plasma membrane	HPA
GPR55	Plasma membrane	GO
EMC2	Endoplasmic reticulum	GO
FLNB	Plasma membrane	HPA;GO
COL12A1	Endoplasmic reticulum	GO
PUM3	Nucleoplasm	GO
EVC	Cytosol	HPA
ATP5MF-PTCD1	Mitochondria	HPA
PHLDA1	Nucleoli	HPA
ABHD12	Plasma membrane	GO
INA	Intermediate filaments	HPA
GINS4	Nucleoplasm	HPA;GO
PLCH1	Plasma membrane	GO
JPH4	Cytosol	HPA
ARMCX1	Nucleoplasm	HPA
PLCG2	Nucleoplasm	HPA
NOX4	Nucleoli	GO
MAP2	Cytosol	HPA
CDK5RAP2	Golgi apparatus	GO
ZNF571	Plasma membrane	HPA
EOMES	Golgi apparatus	HPA
ABLIM3	Cytosol	HPA
NUFIP1	Nucleoplasm	HPA;GO
PEG3	Nucleoplasm	HPA
CAMK4	Nucleoplasm	HPA;GO
YKT6	Golgi apparatus	GO
CASP8	Plasma membrane	GO
NECTIN1	Plasma membrane	GO
NRDE2	Nucleoli	GO
INPP5K	Golgi apparatus	GO
PEBP1	Cytosol	HPA;GO
ADAMTS20	Cytosol	HPA
C6	Plasma membrane	GO
NME8	Primary cilium	GO
TNNC2	Actin filaments	GO
RPS9	Actin filaments	GO
TENM2	Nucleoli	HPA
WASHC2C	Nucleoli	HPA
FGD1	Cytosol	HPA;GO
RBM12B	Nucleoplasm	HPA
NUDT10	Cytosol	HPA;GO
ITGA3	Actin filaments	GO
NAPG	Mitochondria	GO
SLC35A3	Golgi apparatus	GO
RBBP5	Nucleoplasm	HPA;GO
CYP27A1	Cytosol	HPA
SUN3	Nucleoplasm	HPA
ZXDC	Nucleoli	HPA
CFB	Endoplasmic reticulum	HPA
TMED9	Endoplasmic reticulum	GO
SIK2	Endoplasmic reticulum	GO
EIF4EBP1	Cytosol	HPA;GO
DAAM1	Plasma membrane	HPA
CZIB	Cytosol	HPA
BCAS2	Nucleoplasm	HPA;GO
COLEC12	Golgi apparatus	HPA
CDC25C	Cytosol	GO
ANLN	Microtubules	HPA
RC3H1	Golgi apparatus	HPA
ITPR2	Plasma membrane	GO
ESPL1	Centrosome	GO
OR2W1	Plasma membrane	GO
SIM1	Nucleoplasm	HPA
SLC1A2	Plasma membrane	GO
SLC20A1	Plasma membrane	HPA;GO
S100Z	Nucleoplasm	HPA
ZNF124	Nucleoplasm	HPA
PTPRU	Plasma membrane	GO
CD48	Plasma membrane	HPA;GO
SNRPB2	Nucleoplasm	HPA;GO
LIX1L	Cytosol	HPA
IFFO2	Nucleoplasm	HPA
ZMAT2	Mitochondria	HPA
NLRP1	Nucleoplasm	HPA
MGST3	Endoplasmic reticulum	GO
POLR2H	Cytosol	GO
MARK4	Centrosome	GO
FAM102A	Cytosol	HPA
GNB2	Cytosol	GO
GSE1	Mitochondria	HPA
ARL9	Centrosome	HPA
NTPCR	Cytosol	HPA
TMPRSS6	Plasma membrane	GO
ZFC3H1	Intermediate filaments	HPA
TMEM179B	Plasma membrane	GO
ZC3H12A	Nucleoplasm	HPA;GO
CALML5	Cytosol	HPA
SRMS	Intermediate filaments	HPA
STOML2	Plasma membrane	HPA;GO
CCAR1	Golgi apparatus	HPA
CASS4	Actin filaments	GO
CTDSPL	Nucleoplasm	HPA
LAMC2	Endoplasmic reticulum	HPA
OR13C9	Nucleoplasm	HPA
CAPS2	Nucleoli	HPA
NENF	Mitochondria	GO
PHC3	Nucleoplasm	HPA;GO
WDR36	Nucleoplasm	GO
HS6ST1	Golgi apparatus	GO
ZBTB24	Centrosome	HPA
TAP2	Endoplasmic reticulum	HPA;GO
JAK1	Cytosol	GO
KHDC4	Nucleoplasm	HPA
UBAP1	Plasma membrane	HPA
AAR2	Cytosol	HPA
RBM34	Nucleoli	HPA
BCL2L1	Mitochondria	HPA;GO
HIGD1A	Mitochondria	HPA;GO
PSMD11	Cytosol	GO
ZNF235	Nucleoplasm	HPA
NGB	Cytosol	GO
PTMA	Nucleoplasm	HPA
HIP1	Cytosol	GO
ZKSCAN4	Nucleoplasm	HPA
SPRR4	Cytosol	HPA
FBXL7	Cytosol	GO
CTNNBIP1	Cytosol	HPA;GO
GSTZ1	Mitochondria	GO
BTK	Plasma membrane	HPA;GO
CABIN1	Nucleoplasm	HPA;GO
ANP32A	Endoplasmic reticulum	GO
VWCE	Cytosol	HPA
COPG1	Endoplasmic reticulum	GO
STARD13	Golgi apparatus	HPA
NELFCD	Nucleoplasm	HPA;GO
FAM161A	Primary cilium	HPA;GO
CD109	Plasma membrane	HPA;GO
LTV1	Cytosol	HPA;GO
LCK	Centrosome	GO
ZDHHC6	Endoplasmic reticulum	GO
PRR19	Mitochondria	HPA
RPS8	Plasma membrane	GO
DGKG	Plasma membrane	HPA;GO
MYCBP	Mitochondria	HPA
PSMA6	Cytosol	HPA;GO
MYO19	Mitochondria	HPA;GO
TIGD7	Plasma membrane	HPA
FBXO4	Cytosol	GO
VWA5B1	Mitochondria	HPA
OR1D5	Plasma membrane	GO
WNT6	Endoplasmic reticulum	GO
TTC13	Nucleoplasm	HPA
DHX16	Nucleoplasm	HPA;GO
MB21D2	Cytosol	HPA
MRPL20	Mitochondria	HPA;GO
POLR2B	Nucleoplasm	HPA;GO
DIAPH3	Cytosol	GO
DEGS2	Nucleoplasm	HPA
POP4	Nucleoplasm	GO
BBS9	Cytosol	HPA;GO
NCEH1	Endoplasmic reticulum	HPA;GO
STAMBP	Cytosol	HPA;GO
TIAM1	Cytosol	HPA;GO
ZNF501	Endoplasmic reticulum	HPA
REPS1	Cytosol	GO
AKT1S1	Cytosol	HPA;GO
PBOV1	Nucleoplasm	HPA
CDCA3	Cytosol	HPA
CHP2	Nucleoplasm	HPA
EPAS1	Cytosol	GO
HBE1	Cytosol	GO
MCM3AP	Cytosol	HPA;GO
PDCL3	Cytosol	HPA
SLC35C2	Nucleoplasm	HPA
TLK1	Nucleoplasm	HPA
YY1	Nucleoplasm	HPA;GO
RAD51	Nucleoli	HPA
XRCC3	Nucleoplasm	HPA;GO
DNAJC13	Cytosol	HPA
CRAT	Cytosol	HPA;GO
GIPC1	Plasma membrane	HPA
CCNE2	Nucleoplasm	GO
TEX52	Nucleoplasm	HPA
DYNC1I2	Centrosome	HPA;GO
TAL1	Nucleoplasm	HPA;GO
IVL	Centrosome	HPA
ACTN3	Primary cilium	HPA
P3R3URF-PIK3R3	Nucleoplasm	HPA
COPB1	Endoplasmic reticulum	GO
SAMD11	Nucleoplasm	HPA
TATDN2	Nucleoplasm	HPA;GO
